stage,accuracy,macro_f1,log_loss,brier_score
before_calibration,0.44583333333333336,0.4437089778955432,1.5041644523597397,0.7011275925925927
after_calibration,0.44166666666666665,0.4057166060736229,1.505466436481074,0.6952788605892023
model,method,accuracy,macro_f1,log_loss,brier_score,ece,mce,adaptive_ece,delta_accuracy,delta_macro_f1,delta_log_loss,delta_brier_score,delta_ece,delta_mce,delta_adaptive_ece
Logistic Regression,none,0.479167,0.461107,1.954582,0.786223,0.266748,0.377674,0.266748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,sigmoid,0.441667,0.404784,1.529207,0.72066,0.091911,0.286301,0.115811,-0.0375,-0.056323,-0.425375,-0.065564,-0.174837,-0.091373,-0.150937
Logistic Regression,isotonic,0.416667,0.38379,3.557023,0.750378,0.066106,0.287013,0.128509,-0.0625,-0.077318,1.602441,-0.035846,-0.200642,-0.090661,-0.138239
Logistic Regression,temperature,0.479167,0.461107,1.458251,0.682971,0.08116,0.185637,0.093616,0.0,0.0,-0.49633,-0.103252,-0.185588,-0.192037,-0.173132
Random Forest,none,0.425,0.394291,1.508859,0.703048,0.108595,0.332373,0.141332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Forest,sigmoid,0.404167,0.381139,1.522157,0.700152,0.088321,0.187722,0.101362,-0.020833,-0.013152,0.013299,-0.002896,-0.020274,-0.144651,-0.03997
Random Forest,isotonic,0.3875,0.349836,3.014375,0.745556,0.14539,0.263361,0.143912,-0.0375,-0.044455,1.505516,0.042508,0.036795,-0.069012,0.002581
Random Forest,temperature,0.425,0.394291,1.436035,0.683121,0.079298,0.196293,0.094274,0.0,0.0,-0.072823,-0.019926,-0.029297,-0.13608,-0.047058
Gaussian Naive Bayes,none,0.433333,0.406553,4.527287,0.947432,0.396693,0.615265,0.396693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaussian Naive Bayes,sigmoid,0.416667,0.379511,1.743233,0.759201,0.080102,0.15222,0.096637,-0.016667,-0.027042,-2.784055,-0.188231,-0.316592,-0.463045,-0.300056
Gaussian Naive Bayes,isotonic,0.370833,0.317544,4.614276,0.785399,0.205281,0.38746,0.205281,-0.0625,-0.089008,0.086989,-0.162032,-0.191413,-0.227805,-0.191413
Gaussian Naive Bayes,temperature,0.433333,0.406553,1.643138,0.732065,0.083537,0.332017,0.11672,0.0,0.0,-2.884149,-0.215367,-0.313156,-0.283249,-0.279973
