model,phase,actual,predicted,count
Logistic Regression,none,angry,angry,24
Logistic Regression,none,angry,calm,1
Logistic Regression,none,angry,disgust,3
Logistic Regression,none,angry,fearful,1
Logistic Regression,none,angry,happy,1
Logistic Regression,none,angry,neutral,0
Logistic Regression,none,angry,sad,1
Logistic Regression,none,angry,surprised,1
Logistic Regression,none,calm,angry,1
Logistic Regression,none,calm,calm,22
Logistic Regression,none,calm,disgust,0
Logistic Regression,none,calm,fearful,6
Logistic Regression,none,calm,happy,0
Logistic Regression,none,calm,neutral,2
Logistic Regression,none,calm,sad,1
Logistic Regression,none,calm,surprised,0
Logistic Regression,none,disgust,angry,5
Logistic Regression,none,disgust,calm,1
Logistic Regression,none,disgust,disgust,22
Logistic Regression,none,disgust,fearful,0
Logistic Regression,none,disgust,happy,2
Logistic Regression,none,disgust,neutral,0
Logistic Regression,none,disgust,sad,1
Logistic Regression,none,disgust,surprised,1
Logistic Regression,none,fearful,angry,2
Logistic Regression,none,fearful,calm,3
Logistic Regression,none,fearful,disgust,2
Logistic Regression,none,fearful,fearful,15
Logistic Regression,none,fearful,happy,5
Logistic Regression,none,fearful,neutral,0
Logistic Regression,none,fearful,sad,5
Logistic Regression,none,fearful,surprised,0
Logistic Regression,none,happy,angry,3
Logistic Regression,none,happy,calm,0
Logistic Regression,none,happy,disgust,5
Logistic Regression,none,happy,fearful,8
Logistic Regression,none,happy,happy,6
Logistic Regression,none,happy,neutral,3
Logistic Regression,none,happy,sad,5
Logistic Regression,none,happy,surprised,2
Logistic Regression,none,neutral,angry,2
Logistic Regression,none,neutral,calm,4
Logistic Regression,none,neutral,disgust,0
Logistic Regression,none,neutral,fearful,0
Logistic Regression,none,neutral,happy,0
Logistic Regression,none,neutral,neutral,6
Logistic Regression,none,neutral,sad,4
Logistic Regression,none,neutral,surprised,0
Logistic Regression,none,sad,angry,4
Logistic Regression,none,sad,calm,8
Logistic Regression,none,sad,disgust,0
Logistic Regression,none,sad,fearful,5
Logistic Regression,none,sad,happy,3
Logistic Regression,none,sad,neutral,1
Logistic Regression,none,sad,sad,11
Logistic Regression,none,sad,surprised,0
Logistic Regression,none,surprised,angry,0
Logistic Regression,none,surprised,calm,1
Logistic Regression,none,surprised,disgust,3
Logistic Regression,none,surprised,fearful,12
Logistic Regression,none,surprised,happy,1
Logistic Regression,none,surprised,neutral,2
Logistic Regression,none,surprised,sad,4
Logistic Regression,none,surprised,surprised,9
Logistic Regression,sigmoid,angry,angry,17
Logistic Regression,sigmoid,angry,calm,4
Logistic Regression,sigmoid,angry,disgust,3
Logistic Regression,sigmoid,angry,fearful,7
Logistic Regression,sigmoid,angry,happy,0
Logistic Regression,sigmoid,angry,neutral,0
Logistic Regression,sigmoid,angry,sad,0
Logistic Regression,sigmoid,angry,surprised,1
Logistic Regression,sigmoid,calm,angry,0
Logistic Regression,sigmoid,calm,calm,25
Logistic Regression,sigmoid,calm,disgust,0
Logistic Regression,sigmoid,calm,fearful,6
Logistic Regression,sigmoid,calm,happy,0
Logistic Regression,sigmoid,calm,neutral,1
Logistic Regression,sigmoid,calm,sad,0
Logistic Regression,sigmoid,calm,surprised,0
Logistic Regression,sigmoid,disgust,angry,2
Logistic Regression,sigmoid,disgust,calm,1
Logistic Regression,sigmoid,disgust,disgust,24
Logistic Regression,sigmoid,disgust,fearful,2
Logistic Regression,sigmoid,disgust,happy,0
Logistic Regression,sigmoid,disgust,neutral,0
Logistic Regression,sigmoid,disgust,sad,1
Logistic Regression,sigmoid,disgust,surprised,2
Logistic Regression,sigmoid,fearful,angry,0
Logistic Regression,sigmoid,fearful,calm,4
Logistic Regression,sigmoid,fearful,disgust,3
Logistic Regression,sigmoid,fearful,fearful,17
Logistic Regression,sigmoid,fearful,happy,2
Logistic Regression,sigmoid,fearful,neutral,0
Logistic Regression,sigmoid,fearful,sad,5
Logistic Regression,sigmoid,fearful,surprised,1
Logistic Regression,sigmoid,happy,angry,1
Logistic Regression,sigmoid,happy,calm,4
Logistic Regression,sigmoid,happy,disgust,4
Logistic Regression,sigmoid,happy,fearful,13
Logistic Regression,sigmoid,happy,happy,1
Logistic Regression,sigmoid,happy,neutral,0
Logistic Regression,sigmoid,happy,sad,3
Logistic Regression,sigmoid,happy,surprised,6
Logistic Regression,sigmoid,neutral,angry,2
Logistic Regression,sigmoid,neutral,calm,10
Logistic Regression,sigmoid,neutral,disgust,0
Logistic Regression,sigmoid,neutral,fearful,1
Logistic Regression,sigmoid,neutral,happy,0
Logistic Regression,sigmoid,neutral,neutral,3
Logistic Regression,sigmoid,neutral,sad,0
Logistic Regression,sigmoid,neutral,surprised,0
Logistic Regression,sigmoid,sad,angry,1
Logistic Regression,sigmoid,sad,calm,13
Logistic Regression,sigmoid,sad,disgust,0
Logistic Regression,sigmoid,sad,fearful,8
Logistic Regression,sigmoid,sad,happy,0
Logistic Regression,sigmoid,sad,neutral,0
Logistic Regression,sigmoid,sad,sad,10
Logistic Regression,sigmoid,sad,surprised,0
Logistic Regression,sigmoid,surprised,angry,0
Logistic Regression,sigmoid,surprised,calm,3
Logistic Regression,sigmoid,surprised,disgust,3
Logistic Regression,sigmoid,surprised,fearful,13
Logistic Regression,sigmoid,surprised,happy,0
Logistic Regression,sigmoid,surprised,neutral,2
Logistic Regression,sigmoid,surprised,sad,2
Logistic Regression,sigmoid,surprised,surprised,9
Logistic Regression,isotonic,angry,angry,14
Logistic Regression,isotonic,angry,calm,4
Logistic Regression,isotonic,angry,disgust,2
Logistic Regression,isotonic,angry,fearful,7
Logistic Regression,isotonic,angry,happy,4
Logistic Regression,isotonic,angry,neutral,0
Logistic Regression,isotonic,angry,sad,0
Logistic Regression,isotonic,angry,surprised,1
Logistic Regression,isotonic,calm,angry,0
Logistic Regression,isotonic,calm,calm,25
Logistic Regression,isotonic,calm,disgust,0
Logistic Regression,isotonic,calm,fearful,5
Logistic Regression,isotonic,calm,happy,0
Logistic Regression,isotonic,calm,neutral,0
Logistic Regression,isotonic,calm,sad,2
Logistic Regression,isotonic,calm,surprised,0
Logistic Regression,isotonic,disgust,angry,2
Logistic Regression,isotonic,disgust,calm,2
Logistic Regression,isotonic,disgust,disgust,23
Logistic Regression,isotonic,disgust,fearful,2
Logistic Regression,isotonic,disgust,happy,1
Logistic Regression,isotonic,disgust,neutral,0
Logistic Regression,isotonic,disgust,sad,1
Logistic Regression,isotonic,disgust,surprised,1
Logistic Regression,isotonic,fearful,angry,0
Logistic Regression,isotonic,fearful,calm,5
Logistic Regression,isotonic,fearful,disgust,1
Logistic Regression,isotonic,fearful,fearful,19
Logistic Regression,isotonic,fearful,happy,1
Logistic Regression,isotonic,fearful,neutral,0
Logistic Regression,isotonic,fearful,sad,5
Logistic Regression,isotonic,fearful,surprised,1
Logistic Regression,isotonic,happy,angry,1
Logistic Regression,isotonic,happy,calm,5
Logistic Regression,isotonic,happy,disgust,4
Logistic Regression,isotonic,happy,fearful,13
Logistic Regression,isotonic,happy,happy,1
Logistic Regression,isotonic,happy,neutral,2
Logistic Regression,isotonic,happy,sad,3
Logistic Regression,isotonic,happy,surprised,3
Logistic Regression,isotonic,neutral,angry,1
Logistic Regression,isotonic,neutral,calm,9
Logistic Regression,isotonic,neutral,disgust,0
Logistic Regression,isotonic,neutral,fearful,0
Logistic Regression,isotonic,neutral,happy,0
Logistic Regression,isotonic,neutral,neutral,4
Logistic Regression,isotonic,neutral,sad,2
Logistic Regression,isotonic,neutral,surprised,0
Logistic Regression,isotonic,sad,angry,0
Logistic Regression,isotonic,sad,calm,12
Logistic Regression,isotonic,sad,disgust,1
Logistic Regression,isotonic,sad,fearful,10
Logistic Regression,isotonic,sad,happy,0
Logistic Regression,isotonic,sad,neutral,1
Logistic Regression,isotonic,sad,sad,8
Logistic Regression,isotonic,sad,surprised,0
Logistic Regression,isotonic,surprised,angry,0
Logistic Regression,isotonic,surprised,calm,4
Logistic Regression,isotonic,surprised,disgust,4
Logistic Regression,isotonic,surprised,fearful,15
Logistic Regression,isotonic,surprised,happy,1
Logistic Regression,isotonic,surprised,neutral,2
Logistic Regression,isotonic,surprised,sad,0
Logistic Regression,isotonic,surprised,surprised,6
Logistic Regression,temperature,angry,angry,24
Logistic Regression,temperature,angry,calm,1
Logistic Regression,temperature,angry,disgust,3
Logistic Regression,temperature,angry,fearful,1
Logistic Regression,temperature,angry,happy,1
Logistic Regression,temperature,angry,neutral,0
Logistic Regression,temperature,angry,sad,1
Logistic Regression,temperature,angry,surprised,1
Logistic Regression,temperature,calm,angry,1
Logistic Regression,temperature,calm,calm,22
Logistic Regression,temperature,calm,disgust,0
Logistic Regression,temperature,calm,fearful,6
Logistic Regression,temperature,calm,happy,0
Logistic Regression,temperature,calm,neutral,2
Logistic Regression,temperature,calm,sad,1
Logistic Regression,temperature,calm,surprised,0
