stage,group,level,n,accuracy,log_loss,brier_score
before,intensity,normal,128,0.3984375,1.6532583487144035,0.7507970486111111
after,intensity,normal,128,0.359375,1.7454893373257414,0.7783853128152652
before,intensity,strong,112,0.5,1.3337714279544102,0.6443625
after,intensity,strong,112,0.5357142857142857,1.2311545498014538,0.6003000580451303
before,statement,dogs_are_sitting_by_the_door,120,0.44166666666666665,1.510622935105669,0.7058922222222221
after,statement,dogs_are_sitting_by_the_door,120,0.44166666666666665,1.527780348424035,0.7020475814304078
before,statement,kids_are_talking_by_the_door,120,0.45,1.4977059696138109,0.696362962962963
after,statement,kids_are_talking_by_the_door,120,0.44166666666666665,1.4831525245381125,0.6885101397479969
before,actor_gender,female,120,0.5416666666666666,1.4284244131756323,0.6750944444444446
after,actor_gender,female,120,0.5083333333333333,1.362246829897832,0.6410916460610669
before,actor_gender,male,120,0.35,1.5799044915438474,0.7271607407407407
after,actor_gender,male,120,0.375,1.6486860430643158,0.7494660751173378
